,review_title,overall_review,pros,cons,ownership_pariod,date,rating_stars,year,month,day
1405,great,definitely one of the best bangs for your buck in my opinion if youre looking for a ssd,very fastpretty good lot of space to put programs on,didnt come with any kind of mounting supplies although it was so small m cables hold it in place no matter what,month,2015-11-16 06:25:17,5,2015,11,16
1406,game drive,,being used as my primary gaming drive good look and feel very easy installing was a lot smaller than i thought have never seen ssd before software driver is amazing with samsung program helps to store game data for faster retrieval very fast not used as my boot drive,none,month,2015-11-15 09:59:20,5,2015,11,15
1407,died in less than 6 mos,will return under warranty and try again,fast,imaging s w did not work drive died after 4 mos,year,2015-11-15 08:55:54,1,2015,11,15
1408,be cautious,make sure to have all the necessary software cables and mounting kit,very good ssd for the priceeasy to install if you have the user manual and necessary items,didn t come with the data transfer cable or sata cable that s shown in the manualwindows 10 didn t recognize the drive when installedthe software that came with the ssd wasn t updatedhad to find a way to make windows 10 identify itthe software that transferred all the data from the hdd to the ssd didn t work either,week,2015-11-15 00:12:54,3,2015,11,15
1409,extreme satisfied,,this ssd will satisfy for all the daily using the software coming with it allow to customize how the ssd will be optimized which are so nice,nothing to see here,week,2015-11-14 14:38:06,5,2015,11,14
1410,great drive very fast,i had a 240g corsair ssd from 2003 and it ran great for about 2 1 2 months then crashed got mad and threw it in my desk drawer til last month and tried it again after playing witcher 3 for 1 1 2 weeks it crashed again lost everything again that was a common problem with ssd s from three years ago decided not to give up on the tech that by now they have to be making better products and purchased this drive on sale almost 40 less than another corsair i have been using the drive for almost two weeks and witcher3 has not blown it out yet also corsair said their was 20 days left on my warranty and they will send me a new ssd i l put that one in my wife s computer then maybe she will stop complaining about her windows being slow it is a win win,price was great works great alot faster than a regular hd windows boots over 2x faster and shuts down in a fraction of time the with reg hd game loading screens in witcher3 2 3x faster awesome well worth the money 2x capacity of my last ssd loaded windows and my programs in record time compared to reg hd,when the ssd was installed the boot loader is missing have to press f12 at startup then select the drive to boot from it not really a con for me for some reason i like it this way keeps my snooping wife out of my computer now ha ha woman downloads more viruses than i can count also after format only 460gig why lose 40gig,month,2015-11-14 13:34:25,5,2015,11,14
1411,dat speed doe,i got 532 9 mb s vs 125 on my old hdd,fast like fast fast3 year warrantycheap,none yet,day,2015-11-13 22:53:27,5,2015,11,13
1412,fast,,wow is this thing fast when plugged into a sata 3 port this thing just cooks windows boots in seconds instead of minutes,none so far very impressed,week,2015-11-13 21:21:19,5,2015,11,13
1413,maybe you don t need a new computer,i ve had one of these in my laptop for 6 months my wife s laptop was getting slower and slower and i had a tough time convincing her that this ssd will make all the difference so i just bought it for her anyway and installed it she is no longer considering getting a new laptop because her current one is too slow her laptop is now insanely fast it is simply now the fastest machine she has ever used and we are heavy use serious multitasking people so no we don t just email and cruise facebook we actually do work on our machines her boot time to login screen used to be about 2 minutes now it s about 12 seconds from login screen to desktop screen and actually be able to open anything was about 8 minutes now it s about 30 45 seconds this ssd is amazing,fast fast and uuuhhh fast,none,year,2015-11-13 15:27:02,5,2015,11,13
1414,great price great boot times,i bought a ssd mounting kit for this that s supposed to fit inside a a hdd bay it does but the screws don t exactly fit inside the sdd screw mounts so i barely twisted them in at all,fast install light makes a good coaster once it dies boot time with an i5 4590 is 3 seconds to the desktop screen on windows 10 comes with data migration software fallout 4 load times shortened to 1 4 seconds from 5 10 on a wd black hdd i only paid 75 for this,doesn t come with a sata cord but i wont detract eggs because people should check specifications first before they buy it so they know it comes with,week,2015-11-13 09:20:16,5,2015,11,13
